fecha,activo,direction,monto,resultado,ganancia_perdida,rsi_9,rsi_14,sma_5,sma_20,cruce_sma,breakout,rsi_reversion,racha_actual,es_rebote,ciclo_martingala,payout_total,payout_multiplier,puntaje_estrategia,result_bin,trade_status,epoch,ts,ret_1m,ret_3m,ret_5m,slope_5m,rv_20,range_norm,bb_z,body_ratio,wick_imbalance,micro_trend_persist,ia_prob_en_juego,ia_prob_source,ia_decision_id,ia_gate_real,ia_modo_ack,ia_ready_ack
2026-03-16 18:24:05,1HZ10V,CALL,1.0,PENDIENTE,,58.5,59.68,9730.807999999999,9729.324500000002,1,1,0,0,0,1,1.95,1.95,0.666667,,PRE_TRADE,1773703445,2026-03-16T23:24:05.811121+00:00,6.782245724871569e-05,0.000116125876339406,-0.000130480971353634,1.9217314738946852e-05,0.00016757076701438438,0.00017365481737991966,0.3191180523935633,0.680473372781721,0.3195266272182789,0.10526315789473684,,,fulll45|1773703445|C1|1HZ10V|CALL|BUOUMG8VGG7BUHW,,,
2026-03-16 18:25:39,1HZ10V,CALL,1.0,GANANCIA,0.95,58.5,59.68,9730.807999999999,9729.324500000002,1,1,0,0,0,1,1.95,1.95,0.666667,1,CERRADO,1773703445,2026-03-16T23:25:39.476244+00:00,6.782245724871569e-05,0.000116125876339406,-0.000130480971353634,1.9217314738946852e-05,0.00016757076701438438,0.00017365481737991966,0.3191180523935633,0.680473372781721,0.3195266272182789,0.10526315789473684,0.6633333333333334,HUD,fulll45|1773703445|C1|1HZ10V|CALL|DEMO,0.6,LOW_DATA,True
2026-03-16 18:27:43,1HZ10V,CALL,1.0,PENDIENTE,,48.96,60.39,9732.122,9730.469500000001,1,1,0,1,0,1,1.95,1.95,0.666667,,PRE_TRADE,1773703663,2026-03-16T23:27:43.241578+00:00,0.00013665581640033447,0.0002322343306051162,0.0005221647635405575,6.134325073193212e-05,0.00016586602340663985,0.0002239616347555881,0.44383313899365795,0.6192660550459558,-0.3807339449540442,0.10526315789473684,,,fulll45|1773703663|C1|1HZ10V|CALL|BUOUMG8VGG7BUHW,,,
2026-03-16 18:29:16,1HZ10V,CALL,1.0,PÉRDIDA,-1.0,48.96,60.39,9732.122,9730.469500000001,1,1,0,1,0,1,1.95,1.95,0.666667,0,CERRADO,1773703663,2026-03-16T23:29:16.711097+00:00,0.00013665581640033447,0.0002322343306051162,0.0005221647635405575,6.134325073193212e-05,0.00016586602340663985,0.0002239616347555881,0.44383313899365795,0.6192660550459558,-0.3807339449540442,0.10526315789473684,0.98,SENAL,fulll45|1773703663|C1|1HZ10V|CALL|DEMO,0.6,MODELO,True
2026-03-16 18:30:21,1HZ50V,CALL,2.0,PENDIENTE,,79.98,65.77,334751.998,334007.54300000006,1,1,0,-1,0,2,3.91,1.955,0.666667,,PRE_TRADE,1773703821,2026-03-16T23:30:21.774612+00:00,0.0008041123467590069,0.0005958721701410862,0.0011750099546341951,0.0002673083373201999,0.0005524772296163127,0.0011200167553240942,0.8886902090059972,0.8109491191130025,0.1149017830966816,0.05263157894736842,,,fulll45|1773703821|C2|1HZ50V|CALL|BUOUMG8VGG7BUHW,,,
2026-03-16 18:31:55,1HZ50V,CALL,2.0,GANANCIA,1.91,79.98,65.77,334751.998,334007.54300000006,1,1,0,-1,0,2,3.91,1.955,0.666667,1,CERRADO,1773703821,2026-03-16T23:31:55.099943+00:00,0.0008041123467590069,0.0005958721701410862,0.0011750099546341951,0.0002673083373201999,0.0005524772296163127,0.0011200167553240942,0.8886902090059972,0.8109491191130025,0.1149017830966816,0.05263157894736842,0.98,SENAL,fulll45|1773703821|C2|1HZ50V|CALL|DEMO,0.6,MODELO,True
2026-03-16 18:32:41,1HZ25V,CALL,1.0,PENDIENTE,,61.49,55.35,856235.534,855884.3685000001,1,1,0,1,0,1,1.95,1.95,0.666667,,PRE_TRADE,1773703961,2026-03-16T23:32:41.593487+00:00,0.00012561902161788336,0.0006720241529634837,0.0012078740766379192,0.00023324773624729136,0.00019120201740401466,0.00038154947541991347,1.241116391644367,0.3944558333080147,-0.5677875348042989,0.2631578947368421,,,fulll45|1773703961|C1|1HZ25V|CALL|BUOUMG8VGG7BUHW,,,
2026-03-16 18:34:15,1HZ25V,CALL,1.0,PÉRDIDA,-1.0,61.49,55.35,856235.534,855884.3685000001,1,1,0,1,0,1,1.95,1.95,0.666667,0,CERRADO,1773703961,2026-03-16T23:34:15.351613+00:00,0.00012561902161788336,0.0006720241529634837,0.0012078740766379192,0.00023324773624729136,0.00019120201740401466,0.00038154947541991347,1.241116391644367,0.3944558333080147,-0.5677875348042989,0.2631578947368421,,NO_READY,fulll45|1773703961|C1|1HZ25V|CALL|DEMO,0.6,MODELO,False
2026-03-16 18:35:00,1HZ100V,CALL,2.0,PENDIENTE,,54.86,50.83,1762.702,1758.021,1,1,0,-1,0,2,3.91,1.955,0.666667,,PRE_TRADE,1773704100,2026-03-16T23:35:00.935501+00:00,0.0007366607733804538,0.0034147533252651924,0.003802583938203779,0.0010376115758647783,0.001385337133707746,0.0008040679041007875,1.0518686676200233,0.9154929577463999,-0.08450704225360006,0.21052631578947367,,,fulll45|1773704100|C2|1HZ100V|CALL|BUOUMG8VGG7BUHW,,,
2026-03-16 18:36:34,1HZ100V,CALL,2.0,PÉRDIDA,-2.0,54.86,50.83,1762.702,1758.021,1,1,0,-1,0,2,3.91,1.955,0.666667,0,CERRADO,1773704100,2026-03-16T23:36:34.850196+00:00,0.0007366607733804538,0.0034147533252651924,0.003802583938203779,0.0010376115758647783,0.001385337133707746,0.0008040679041007875,1.0518686676200233,0.9154929577463999,-0.08450704225360006,0.21052631578947367,,NO_READY,fulll45|1773704100|C2|1HZ100V|CALL|DEMO,0.6,MODELO,False
2026-03-16 18:37:20,1HZ50V,CALL,4.0,PENDIENTE,,56.31,62.83,335042.37799999997,334556.06899999996,1,1,0,-2,0,3,7.81,1.9525,0.666667,,PRE_TRADE,1773704240,2026-03-16T23:37:20.289230+00:00,0.00023992354671043095,0.0009866873057619932,2.3357724505442836e-05,0.000227019042946276,0.0006801790965395066,0.0004431599620128079,0.5321469260388909,0.8331987075930929,-0.0879106085083325,0.15789473684210525,,,fulll45|1773704240|C3|1HZ50V|CALL|BUOUMG8VGG7BUHW,,,
